pick,value
1,494.6
2,435.7
3,401.3
4,376.9
5,357.9
6,342.4
7,329.4
8,318.0
9,308.0
10,299.1
11,291.0
12,283.6
13,276.8
14,270.5
15,264.7
16,259.2
17,254.0
18,249.2
19,244.6
20,240.2
21,236.1
22,232.1
23,228.4
24,224.7
25,221.3
26,218.0
27,214.7
28,211.7
29,208.7
30,205.8
31,203.0
32,200.3
33,175.2
34,173.3
35,171.4
36,169.5
37,167.7
38,165.9
39,164.1
40,162.4
41,160.8
42,159.1
43,157.5
44,155.9
45,154.3
46,152.8
47,151.3
48,149.8
49,148.4
50,147.0
51,145.6
52,144.2
53,142.8
54,141.5
55,140.2
56,138.9
57,137.6
58,136.3
59,135.1
60,133.9
61,132.7
62,131.4
63,130.3
64,129.1
65,128.0
66,126.9
67,125.8
68,124.7
69,123.6
70,122.5
71,121.5
72,120.4
73,119.4
74,118.4
75,117.4
76,116.4
77,115.4
78,114.4
79,113.5
80,112.5
81,111.6
82,110.7
83,109.7
84,108.8
85,107.9
86,107.1
87,106.2
88,105.3
89,104.4
90,103.6
91,102.7
92,101.9
93,101.1
94,100.3
95,99.4
96,98.6
97,97.8
98,97.1
99,96.3
100,95.5
101,94.7
102,94.0
103,93.2
104,92.5
105,91.7
106,91.0
107,90.3
108,89.5
109,88.8
110,88.1
111,87.4
112,86.7
113,86.0
114,85.3
115,84.6
116,84.0
117,83.3
118,82.6
119,82.0
120,81.3
121,80.7
122,80.0
123,79.4
124,78.7
125,78.1
126,77.5
127,76.9
128,76.2
129,75.6
130,75.0
131,74.4
132,73.8
133,73.2
134,72.6
135,72.0
136,71.5
137,70.9
138,70.3
139,69.7
140,69.2
141,68.6
142,68.0
143,67.5
144,66.9
145,66.4
146,65.8
147,65.3
148,64.8
149,64.2
150,63.7
151,63.2
152,62.6
153,62.1
154,61.6
155,61.1
156,60.6
157,60.0
158,59.5
159,59.0
160,58.5
161,58.0
162,57.5
163,57.1
164,56.6
165,56.1
166,55.6
167,55.1
168,54.6
169,54.2
170,53.7
171,53.2
172,52.7
173,52.3
174,51.8
175,51.4
176,50.9
177,50.4
178,50.0
179,49.5
180,49.1
181,48.6
182,48.2
183,47.8
184,47.3
185,46.9
186,46.5
187,46.0
188,45.6
189,45.2
190,44.7
191,44.3
192,43.9
193,43.5
194,43.1
195,42.6
196,42.2
197,41.8
198,41.4
199,41.0
200,40.6
201,40.2
202,39.8
203,39.4
204,39.0
205,38.6
206,38.2
207,37.8
208,37.4
209,37.0
210,36.6
211,36.3
212,35.9
213,35.5
214,35.1
215,34.7
216,34.3
217,33.9
218,33.5
219,33.1
220,32.7
221,32.3
222,31.9
223,31.5
224,31.1
