pick,value
1,3000
2,2600
3,2200
4,1800
5,1700
6,1600
7,1500
8,1400
9,1350
10,1300
11,1250
12,1200
13,1150
14,1100
15,1050
16,1000
17,950
18,900
19,875
20,850
21,800
22,780
23,760
24,740
25,720
26,700
27,680
28,660
29,640
30,620
31,600
32,590
33,580
34,560
35,550
36,540
37,530
38,520
39,510
40,500
41,490
42,480
43,470
44,460
45,450
46,440
47,430
48,420
49,410
50,400
51,390
52,380
53,370
54,360
55,350
56,340
57,330
58,320
59,310
60,300
61,292
62,284
63,276
64,270
65,265
66,260
67,255
68,250
69,245
70,240
71,235
72,230
73,225
74,220
75,215
76,210
77,205
78,200
79,195
80,190
81,185
82,180
83,175
84,170
85,165
86,160
87,155
88,150
89,145
90,140
91,136
92,132
93,128
94,124
95,120
96,116
97,112
98,108
99,104
100,100
101,96
102,92
103,88
104,86
105,84
106,82
107,80
108,78
109,76
110,74
111,72
112,70
113,68
114,66
115,64
116,62
117,60
118,58
119,56
120,54
121,52
122,50
123,49
124,48
125,47
126,46
127,45
128,44
129,43
130,42
131,41
132,40
133,39.5
134,39
135,38.5
136,38
137,37.5
138,37
139,36.5
140,36
141,35.5
142,35
143,34.5
144,34
145,33.5
146,33
147,32.6
148,32.2
149,31.8
150,31.4
151,31
152,30.6
153,30.2
154,30
155,29.8
156,29.6
157,29.4
158,29.2
159,29
160,28.8
161,28
162,27.6
163,27.2
164,26.8
165,26.4
166,26
167,25.6
168,25.2
169,24.8
170,24.4
171,24
172,23.6
173,23.2
174,22.8
175,22.4
176,22
177,21.6
178,21.2
179,20.8
180,20.4
181,20
182,19.6
183,19.2
184,18.8
185,18.4
186,18
187,17.6
188,17.2
189,16.8
190,16.4
191,16
192,15.6
193,15.2
194,14.8
195,14.4
196,14
197,13.6
198,13.2
199,12.8
200,12.4
201,12
202,11.6
203,11.2
204,10.8
205,10.4
206,10
207,9.6
208,9.2
209,8.8
210,8.4
211,8
212,7.6
213,7.2
214,6.8
215,6.4
216,6
217,5.8
218,5.6
219,5.4
220,5.2
221,5
222,4.8
223,4.6
224,4.4
225,4.2
226,4
227,3.8
228,3.6
229,3.4
230,3.2
231,3
232,2.9
233,2.8
234,2.7
235,2.6
236,2.5
237,2.4
238,2.3
239,2.2
240,2.1
241,2
242,1.9
243,1.8
244,1.7
245,1.6
246,1.5
247,1.4
248,1.3
249,1.2
250,1.1
251,1
252,0.9
253,0.8
254,0.7
255,0.6
256,0.5
