gsis_id,pfr_id,name,merge_name,birthdate,college,yamplayer_id
JAN055372,JanaJo20,John Janata,john janata,1961-04-10,Illinois; Antelope Valley Junior College,YAMP_00014d087057
00-0029304,NortBr00,Brad Nortman,brad nortman,1989-09-12,Wisconsin,YAMP_0001859b6a88
00-0022839,SmitDa24,Daryl Smith,daryl smith,1982-03-14,Georgia Tech,YAMP_0001a816eac7
,,Will Cuthbert,will cuthbert,,Alabama,YAMP_00074d3436d5
00-0023696,WrigMa20,Manuel Wright,manuel wright,1984-04-13,USC; Long Beach City College,YAMP_000aac4178f9
00-0013442,RayxJo20,John Ray,john ray,1969-04-26,West Virginia,YAMP_000b9aa0eddb
PER622800,PerrLe00,Leon Perry,leon perry,1957-08-14,Mississippi,YAMP_000e49dcbaa1
,WaltMi20,Mike Walter,mike walter,,Oregon,YAMP_000ec16b3bb3
00-0023174,FrasSi20,Simon Fraser,simon fraser,1983-03-27,Ohio State,YAMP_000f3319a31e
,,Jerard Rabb,jerard rabb,,Boise State,YAMP_000fd6090e80
00-0040230,CrawKi00,Kitan Crawford,kitan crawford,2001-12-31,Nevada; Texas,YAMP_0018cf70310c
00-0007334,HerrKi20,Kim Herring,kim herring,1975-09-10,Penn State,YAMP_0019ee7d75ff
PER423750,PerrRa20,Ralph Perretta,ralph perretta,1953-01-30,Purdue,YAMP_001c93b9d71a
,,Marco Johnson,marco johnson,,Hawaii,YAMP_001d88fb5545
00-0014048,,Steve Rosga,steve rosga,1974-07-10,Colorado,YAMP_001fbf500426
00-0040475,JoneNa02,Nash Jones,nash jones,2002-03-29,Texas State-San Marcos,YAMP_001fcaa4c2a2
00-0026819,HuggKa00,Kareem Huggins,kareem huggins,1986-05-24,Hofstra,YAMP_00204ecce41d
00-0038980,HarrZa00,Zach Harrison,zach harrison,2001-08-14,Ohio State,YAMP_0022b1848a75
00-0037175,BrowAn06,Anthony Brown,anthony brown,1998-07-27,Oregon; Boston College,YAMP_002571822a5f
HAC593270,HackJo21,Joey Hackett,joey hackett,1958-09-29,Elon,YAMP_002fc77943a9
00-0021263,MitcMe20,Mel Mitchell,mel mitchell,1979-02-10,Western Kentucky,YAMP_00335c3bee33
MAT485801,MattAl00,Allama Matthews,allama matthews,1961-08-24,Vanderbilt,YAMP_003430aa7c60
00-0036439,ClevTy00,Tyrie Cleveland,tyrie cleveland,1997-09-20,Florida,YAMP_00377f737387
,,Micah Moon,micah moon,,North Carolina,YAMP_00388df63d0c
00-0025667,TogaPa99,Pago Togafau,pago togafau,1984-01-10,Idaho State,YAMP_003bb3a5fb43
JON617892,JoneMi22,Mike Jones,mike jones,1964-08-19,Brockport State,YAMP_003dd636ce82
00-0021980,WrigGe00,George Wrighster,george wrighster,1981-04-01,Oregon,YAMP_003edadae632
VOL166116,VolkRi00,Rick Volk,rick volk,1945-03-15,Michigan,YAMP_00406877c6a3
00-0026313,BarbDo99,Dominique Barber,dominique barber,1986-08-02,Minnesota,YAMP_004081efeac3
00-0032118,GallAn00,Andy Gallik,andy gallik,1991-09-24,Boston College,YAMP_0040f9a211ea
00-0027129,BrowAa00,Aaron Brown,aaron brown,1985-10-10,TCU,YAMP_00411097f498
00-0000136,AlexBr20,Brent Alexander,brent alexander,1971-07-10,Tennessee State,YAMP_0042ac14750a
BON575019,BonnGl00,Glen Bonner,glen bonner,1952-05-05,Washington; Yakima Valley Community Coll,YAMP_00453004ecc7
,,Dave Toub,dave toub,,Texas-El Paso,YAMP_004a6f32e27a
00-0038560,BattJo00,Jordan Battle,jordan battle,2000-12-14,Alabama,YAMP_004bae86b672
GIS415291,GissAn20,Andrew Gissinger,andrew gissinger,1959-07-04,Syracuse,YAMP_004c6274346a
00-0039589,JohnKa01,Kameron Johnson,kameron johnson,2002-03-17,Barton College,YAMP_0050f867bea9
00-0033410,LukeCo00,Cole Luke,cole luke,1995-06-30,Notre Dame,YAMP_0054985330c2
CUR351395,CurrBi20,Bill Currier,bill currier,1955-01-05,South Carolina,YAMP_0054f6cdb92f
00-0000969,BechBr00,Brett Bech,brett bech,1971-08-20,LSU,YAMP_005b3470a137
00-0027528,CartBr20,Brandon Carter,brandon carter,1986-09-10,Texas Tech,YAMP_005b631e30df
00-0026656,,Michael Parenton,michael parenton,1985-11-02,Tulane,YAMP_005c2d2c1804
00-0032787,ToneCo00,Cole Toner,cole toner,1994-03-13,Harvard,YAMP_005e28dd31f4
WEA436346,,De'Metrius Weatherspoon,de'metrius weatherspoon,2002-10-09,Syracuse; Howard,YAMP_0060278c4bff
00-0039554,JackJa04,Jalen Jackson,jalen jackson,2000-06-26,Villanova,YAMP_0061ee8094e9
,,John Driscoll,john driscoll,,New Hampshire,YAMP_0063710f72d4
00-0025638,NkanCh99,Chad Nkang,chad nkang,1985-07-01,Elon,YAMP_0064d9e27fd9
,,Joe Steele,joe steele,,Washington,YAMP_0065b4b8c127
,,Shawn Johnson,shawn johnson,,Pittsburgh,YAMP_0067b5522da7
00-0022075,HarrKw20,Kwame Harris,kwame harris,1982-03-15,Stanford,YAMP_0068b9c513f9
00-0037844,YeasRu00,Russ Yeast,russ yeast,1999-05-08,Kansas State,YAMP_006d77f323d0
RIN332232,RingBi00,Bill Ring,bill ring,1956-12-13,BYU; San Mateo,YAMP_007562e2a8e1
JON162362,JoneCh21,Chris Jones,chris jones,1964-06-26,Delaware State,YAMP_0075c3b045da
POK415291,PokoFr20,Frank Pokorny,frank pokorny,1963-05-13,Youngstown State,YAMP_00766dba0748
JOH693539,JohnTo22,Tommy Johnson,tommy johnson,1971-12-05,Alabama,YAMP_0076f39a2d7b
00-0026655,MyerRo00,Rob Myers,rob myers,1986-04-09,Utah State,YAMP_0077ffc4b97d
00-0028446,PortJo01,Josh Portis,josh portis,1987-07-14,California (PA),YAMP_007978112940
00-0021868,JohnRo04,Robert Johnson,robert johnson,1980-06-20,Auburn,YAMP_007c3b7317e1
00-0031939,JoneMa04,Matt Jones,matt jones,1993-03-07,Florida,YAMP_007f10092afa
00-0020887,,Bobby Jackson,bobby jackson,1979-10-03,Illinois,YAMP_007f182edf20
PAR470372,ParkBr02,Brian Parker II,brian parker,2004-01-06,Duke,YAMP_007fc1697749
00-0031914,PierOl00,Olsen Pierre,olsen pierre,1991-08-27,Miami,YAMP_0080e522ae6b
ROG397232,RogeJi00,Jimmy Rogers,jimmy rogers,1955-06-29,Oklahoma,YAMP_00811b12b52a
00-0002449,BynoBu20,Butler By'Not'e,butler by'not'e,1972-09-29,Ohio State,YAMP_008386f31b39
00-0030163,WilsRi00,Ridge Wilson,ridge wilson,1991-02-07,West Alabama,YAMP_0084555a0e06
,,Israel Tucker,israel tucker,,Louisiana Tech,YAMP_0084eb89ce13
00-0008645,JohnTy20,Tyrone Johnson,tyrone johnson,1971-09-04,Western State,YAMP_008570a5199e
,,Don Harris,don harris,,Texas Tech,YAMP_008794076bcd
00-0033464,ChesJe00,Jehu Chesson,jehu chesson,1993-12-20,Michigan,YAMP_008ace196a47
00-0034476,HowaA.00,A.J. Howard,a.j. howard,1995-12-23,Appalachian State,YAMP_008c5a97b59c
00-0006850,HargTo00,Tony Hargain,tony hargain,1967-12-26,Oregon,YAMP_008c861ed9c4
00-0005064,,Kevin Farkas,kevin farkas,1971-02-04,Appalachian State,YAMP_008d430bfc7b
,,Khori Ivy,khori ivy,,West Virginia,YAMP_008efe453f78
TAY546637,TaylLo00,Logan Taylor,logan taylor,2002-02-07,Boston College; Virginia,YAMP_008f100b9d3d
00-0030434,WillVi01,Vince Williams,vince williams,1989-12-27,Florida State,YAMP_009011525ce3
00-0034500,DaviTa00,Tae Davis,tae davis,1996-08-14,Tennessee-Chattanooga,YAMP_00940ebda28b
,,Darryl McGill,darryl mcgill,,Wake Forest,YAMP_009788909083
00-0011886,MyerMi20,Michael Myers,michael myers,1976-01-20,Alabama; Hinds CC,YAMP_009ab9a7c0d5
00-0031186,AckeKe00,Kenneth Acker,kenneth acker,1992-02-06,SMU,YAMP_00a0ff0749db
DAV673380,DaviRi20,Ricky Davis,ricky davis,1953-05-18,Alabama,YAMP_00a3046f58ca
00-0008538,JohnJi00,Jimmie Johnson,jimmie johnson,1966-10-06,Howard,YAMP_00a473d1fa91
