gsis_id,pfr_id,mfl_id,name,merge_name,birthdate,college,yamplayer_id
,,,Matt Johnson,matt johnson,,USC,YAMP_0243bd0d062f
,,,Matt Johnson,matt johnson,,BYU,YAMP_0243bd0d062f
,SimpJo00,,John Simpson,john simpson,,Baylor,YAMP_07c04ee06495
,SimpJo00,,John Simpson,john simpson,,Clemson,YAMP_07c04ee06495
,,,Marko Cavka,marko cavka,,Sacramento State,YAMP_0f3658344c32
,,,Marko Cavka,marko cavka,,Sacramento St.,YAMP_0f3658344c32
,,,Calvin Armstrong,calvin armstrong,,Washington State,YAMP_115f46d5349a
,,,Calvin Armstrong,calvin armstrong,,Washington St.,YAMP_115f46d5349a
,,,Russell Davis,russell davis,,Idaho,YAMP_18d2390cb2a2
,,,Russell Davis,russell davis,,Maryland,YAMP_18d2390cb2a2
,,,Chris Colmer,chris colmer,,Boise State,YAMP_1ae052bd0c48
,,,Chris Colmer,chris colmer,,North Carolina St.,YAMP_1ae052bd0c48
,,,Jason Gavadza,jason gavadza,,Kent St.,YAMP_1bb8606e9f37
,,,Jason Gavadza,jason gavadza,,Kent State,YAMP_1bb8606e9f37
00-0037286,HarrKe01,,Kevin Harris,kevin harris,,Texas Southern,YAMP_1f62c5436b28
00-0037286,HarrKe01,,Kevin Harris,kevin harris,,Georgia,YAMP_1f62c5436b28
,JoneTy02,,Tyler Jones,tyler jones,,North Carolina State,YAMP_2012c36a4805
,JoneTy02,,Tyler Jones,tyler jones,,Boise State,YAMP_2012c36a4805
00-0029271,AdamJo01,,Joe Adams,joe adams,,Nebraska,YAMP_209f101dc1cd
00-0029271,AdamJo01,,Joe Adams,joe adams,,Tennessee St.,YAMP_209f101dc1cd
,,,Derek Smith,derek smith,,Kentucky,YAMP_2107de918e15
,,,Derek Smith,derek smith,,Virginia Tech,YAMP_2107de918e15
,,,David Smith,david smith,,Northern Arizona,YAMP_357e14648756
,,,David Smith,david smith,,Western Kentucky,YAMP_357e14648756
,,,Andrew Kline,andrew kline,,San Diego St.,YAMP_4a6d1bc34f77
,,,Andrew Kline,andrew kline,,San Diego State,YAMP_4a6d1bc34f77
